National_ID,Name,Phone,Address,Age,password,Age_Normalization,Age_Stage
20301548520137,Karma Ali,01236548520,Mansoura,30,df55,0.87,Adult
20315059632104,Muhra Malek,01152480236,Cairo,31,3625ll,0.79,Adult
20102365215422,Hamza Khaled,01025879631,Assuit,45,985ghj,0.4,Adult
01025485236541,Ahmed Mahmoud,01002542023,Luxor,34,25841cd,0.53,Adult
20103654852012,Nour Mohamed,01022554102,Dahab,50,25845sd,0.83,Adult
20152563201253,Zain Ali,01024586351,Mallawi,28,25463,1.04,Adult
30215252153652,Ahmed Ibrahim,01025463250,Minia,50,96658,0.83,Adult
30215489652312,Ahmed Alaa,01253658960,Aswan,35,15263,0.45,Adult
22518553200515,Arwa Khaled,01235215201,Sohag,44,1255zxs,0.32,Adult
21026630215521,Hanen Mohamed,01023596321,Minia,27,235ds,1.13,Adult
36598445336655,Doaa Adel,01524863201,Cairo,54,9656ere,1.17,Adult
23102158632541,Hazem Sayed,01235210215,Alexandria,36,96585ere,0.36,Adult
23548565215420,Ziad Amer,01523698520,Assuit,42,125001,0.15,Adult
30201025658963,Hassan Ahmed,01236521485,Red Sea,63,745263s,1.93,Adult
12350115203250,Marwa Anwer,01125365420,Luxor,64,96352w,2.02,Adult
30215458620125,Zena Mustafa,01025963210,َََPort Said,35,7855st,0.45,Adult
14203025698410,Maleka Ali,01125480015,Alexandria,35,56863c,0.45,Adult
30111132400353,Momen,01099473692,Minya,22,123eee,1.55,Adult
