National_ID,Name,Phone,Address,Age,Age_Normalization,Age_Stage
20301548520137,Karma Ali,01236548520,Mansoura,30,1.01,Adult
20315059632104,Muhra Malek,01152480236,Cairo,31,0.92,Adult
20102365215422,Hamza Khaled,01025879631,Assuit,45,0.33,Adult
01025485236541,Ahmed Mahmoud,01002542023,Luxor,34,0.66,Adult
20103654852012,Nour Mohamed,01022554102,Dahab,50,0.77,Adult
14203025698410,Maleka Ali,0112548001,Alexandria,35,0.57,Adult
20152563201253,Zain Ali,01024586351,Mallawi,28,1.19,Adult
30215252153652,Ahmed Ibrahim,01025463250,Minia,50,0.77,Adult
30215489652312,Ahmed Alaa,01253658960,Aswan,35,0.57,Adult
22518553200515,Arwa Khaled,01235215201,Sohag,44,0.24,Adult
21026630215521,Hanen Mohamed,01023596321,Minia,27,1.28,Adult
36598445336655,Doaa Adel,01524863201,Cairo,54,1.13,Adult
23102158632541,Hazem Sayed,01235210215,Alexandria,36,0.48,Adult
23548565215420,Ziad Amer,01523698520,Assuit,42,0.06,Adult
30201025658963,Hassan Ahmed,01236521485,Red Sea,63,1.93,Adult
12350115203250,Marwa Anwer,01125365420,Luxor,64,2.02,Adult
30215458620125,Zena Mustafa,01025963210,َََPort Said,35,0.57,Adult
