Patient_Name,Patient_Phone,Patient_Age,Patient_Address,Patient_Gender,Follower_Phone,Doctor_National_ID,Age_Normalization_Patient,Patient_Age_Stage,Result_ID,Result,Result_Date,Medical_Result_Year,Medical_Result_Month,Diabetic,Hypertension,Cholesterol,survey_id,q_one,q_two,q_three,q_four,q_five,q_six,q_seven,q_eight,q_nine,q_ten,survey_date,Survay_Result_Month,Survay_Result_Year,Doctor_ID,Patient_National_ID,Doctor_Phone_x,Doctor_Name,Doctor_Phone_y,Doctor_Address,Doctor_Age,Doctor_Age_Normalization,Doctor_Age_Stage
Abdallah Mahmoud,1586214122,32,Alexandria,0,1023654789,2.35E+13,0.41,Adult,5400,1,10/11/2021,2021,10,TRUE,TRUE,TRUE,4525,1,1,1,1,1,1,1,1,1,1,10/11/2021,10,2021,1000,3.02E+13,15489652312,Ahmed Alaa,1253658960,Aswan,70,0.57,Older
Waleed Mustafa,1061233642,80,Aswan,0,1236547895,2.31E+13,0.15,Older,5401,1,10/10/2020,2020,10,TRUE,TRUE,TRUE,4526,1,0,1,0,1,1,0,1,0,1,10/10/2020,10,2020,1001,3.02E+13,3.02E+13,Ahmed Ibrahim,1025463250,Minia,68,0.77,Older
Mustafa Yahia,1036587460,80,Alexandria,0,1236584754,1.03E+12,0.68,Older,5402,0,12/12/2018,2018,12,TRUE,FALSE,FALSE,4527,0,1,1,1,1,1,1,1,1,1,12/12/2018,12,2018,1002,2.03E+13,1258963251,Ahmed Mahmoud,1002542023,Luxor,69,0.66,Older
Ahmed Foad,1061275322,65,Alexandria,0,1025486325,3.02E+13,1.87,Adult,5403,1,2/3/2021,2021,2,TRUE,FALSE,FALSE,4528,1,1,1,0,1,0,0,0,0,0,2/3/2021,2,2021,1002,3.02E+13,1258963251,Ahmed Mahmoud,1002542023,Luxor,34,0.66,Adult
Ahmed Adel,1163625122,34,Assuit,0,1024515263,3.02E+13,0.27,Adult,5404,0,3/4/2021,2021,3,TRUE,FALSE,FALSE,4529,0,1,0,0,0,1,1,1,1,0,3/4/2021,3,2021,1004,2.01E+13,1118553200,Arwa Khaled,1235215201,Sohag,44,0.24,Adult
Arwa Talat,1298321457,28,Assuit,0,1125485632,3.02E+13,0.68,Adult,5405,0,3/5/2021,2021,3,TRUE,FALSE,FALSE,4530,0,1,0,0,0,1,1,1,1,0,3/5/2021,3,2021,1005,2.01E+13,3.66E+13,Doaa Adel,1524863201,Cairo,54,1.13,Adult
Hazem Khaled,1028963547,26,Assuit,0,1258963457,2.01E+13,0.82,Adult,5406,1,2/22/2022,2022,2,FALSE,FALSE,TRUE,4531,1,1,1,0,1,0,0,0,0,0,2/22/2022,2,2022,1006,4.26E+13,1258963251,Hamza Khaled,1025879631,Assuit,45,0.33,Adult
Mazen Mahmoud,1095133120,45,Assuit,0,1024585632,3.02E+13,0.49,Adult,5407,0,4/7/2022,2022,4,FALSE,FALSE,TRUE,4532,1,1,1,1,1,1,1,1,1,1,4/7/2022,4,2022,1006,3.02E+13,1258963251,Hamza Khaled,1025879631,Assuit,45,1.33,Adult
Mena Ahmed ,1263946183,30,Assuit,0,1120124586,1.24E+13,0.55,Adult,5408,1,3/7/2021,2021,3,FALSE,FALSE,TRUE,4533,0,1,1,0,0,0,0,1,1,0,3/7/2021,3,2021,1008,2.01E+13,2.10E+13,Hanen Mohamed,1023596321,Minia,27,1.28,Adult
Ahmed Safwat,1086953214,66,Assuit,0,1256963254,1.24E+13,1.53,Older,5409,0,1/1/2021,2021,1,FALSE,FALSE,TRUE,4534,0,1,1,0,0,0,1,0,0,0,1/1/2021,1,2021,1007,3.02E+13,3.02E+13,Hassan Ahmed,1236521485,Red Sea,63,1.93,Adult
Laila Mohamed,1061202692,35,Assuit,0,1023652145,3.02E+13,0.2,Adult,5410,1,3/8/2021,2021,3,FALSE,FALSE,TRUE,4535,1,1,1,1,1,1,1,1,1,1,3/8/2021,3,2021,1007,9.62E+13,3.02E+13,Hassan Ahmed,1236521486,Red Sea,63,1.93,Adult
Mariam Tarek,1123398245,27,Cairo,0,1021453621,1.24E+13,0.75,Adult,5411,0,8/3/2019,2019,8,FALSE,FALSE,TRUE,4536,0,0,1,0,1,0,0,0,0,0,8/3/2019,8,2019,1009,3.20E+13,2.31E+13,Hazem Sayed,1235210215,Alexandria,36,0.48,Adult
Abdelrahman Mohamed,1045863251,20,Cairo,0,1024589637,2.03E+13,1.24,Adult,5412,1,7/24/2016,2016,7,FALSE,FALSE,FALSE,4537,1,1,1,1,1,1,1,1,1,0,7/24/2016,7,2016,1010,3.02E+13,1258963251,Karma Ali,1236548520,Mansoura,30,1.01,Adult
Mazen Ahmed,1254852012,60,Cairo,0,1025489635,2.01E+13,1.53,Adult,5413,0,6/24/2016,2020,6,TRUE,TRUE,TRUE,4538,1,0,0,1,1,0,0,1,0,0,6/24/2016,6,2016,1010,3.02E+13,1258963251,Karma Ali,1236548521,Mansoura,30,1.01,Adult
Hager Mohamed,1258651452,23,Cairo,1,1254896350,1.42E+13,1.03,Adult,5414,1,11/11/2019,2019,11,FALSE,FALSE,TRUE,4539,1,1,1,1,1,1,1,1,1,0,11/11/2019,11,2019,1011,4.05E+13,1258963251,Maleka Ali,112548001,Alexandria,35,0.57,Adult
Marwa Ahmed,1061964102,59,Cairo,0,1526324152,2.10E+13,1.46,Adult,5415,1,11/1/2017,2020,11,FALSE,FALSE,TRUE,4540,1,1,1,1,1,1,1,1,1,0,11/1/2017,11,2017,1011,3.02E+13,1258963251,Maleka Ali,112548002,Alexandria,35,0.57,Adult
Hassan Saleh,1500360215,37,Cairo,0,1524869321,2.25E+13,0.06,Adult,5416,0,2/9/2022,2022,2,FALSE,FALSE,TRUE,4541,1,0,0,0,0,1,0,0,0,0,2/9/2022,2,2022,1012,1.20E+13,1.24E+13,Marwa Anwer,1125365420,Luxor,64,2.02,Adult
Retag Waleed,1131979231,28,Luxor,0,1236584520,1.24E+13,0.68,Adult,5417,0,2/2/2021,2021,2,FALSE,FALSE,TRUE,4542,0,0,1,0,0,0,0,0,1,1,2/2/2021,2,2021,1012,3.01E+13,1.24E+13,Marwa Anwer,1125365420,Luxor,64,2.02,Adult
Karem Assem,1235896541,22,Sohag,0,1253658477,2.03E+13,1.1,Adult,5418,1,6/22/2022,2022,6,TRUE,TRUE,TRUE,4543,1,0,1,1,1,1,1,1,1,1,6/22/2022,6,2022,1013,3.02E+13,1258963251,Muhra Malek,1152480236,Cairo,31,0.92,Adult
Ahmed Mahmoud,1061233122,45,Minya,0,1024585632,2.01E+13,0.49,Adult,5419,1,2/3/2202,2202,2,TRUE,TRUE,TRUE,4544,1,1,1,1,1,1,1,1,1,1,2/3/2202,2,2202,1013,3.02E+13,1258963251,Muhra Malek,1152480237,Cairo,31,0.92,Adult
Gmela Sayed,1025879634,22,Minya,1,1254589632,2.01E+13,1.1,Adult,5420,0,3/8/2023,2023,3,TRUE,TRUE,FALSE,4545,0,1,0,0,0,1,0,0,1,0,3/8/2023,3,2023,1014,2.54E+13,1258963251,Nour Mohamed,1022554102,Dahab,50,0.77,Adult
Khaled Mohamed,1582033122,35,Minya,0,1125426326,2.25E+13,0.2,Adult,5421,1,3/4/2021,2021,3,TRUE,TRUE,FALSE,4546,1,1,1,1,1,1,1,1,1,1,3/4/2021,3,2021,1014,2.01E+13,1258963251,Nour Mohamed,1022554103,Dahab,50,0.77,Adult
Ali Bakr,1025486358,30,Minya,0,1158263541,2.02E+13,0.55,Adult,5422,1,4/20/2022,2022,4,TRUE,FALSE,TRUE,4547,1,1,1,1,1,1,1,1,1,1,4/20/2022,4,2022,1015,2.03E+13,1258963251,Zain Ali,1024586351,Mallawi,28,1.19,Adult
Nada Mahmoud,1061233957,48,Minya,0,1523624186,3.66E+13,0.7,Adult,5423,1,6/22/2022,2022,6,TRUE,TRUE,TRUE,4547,1,1,1,1,1,1,1,1,1,1,6/22/2022,6,2022,1015,9.63E+13,1258963251,Zain Ali,1024586352,Mallawi,28,1.19,Adult
Belal Naser,1061021039,36,Minya,0,1025369541,1.24E+13,0.13,Adult,5424,0,2/3/2202,2202,2,TRUE,TRUE,TRUE,4547,0,0,1,0,1,0,0,0,1,0,2/3/2202,2,2202,1015,9.66E+13,1258963251,Zain Ali,1024586353,Mallawi,28,1.19,Adult
Yahia Ahmed,1081232102,11,Minya,0,1023695841,3.66E+13,1.18,Adolscent,5425,1,3/8/2023,2023,3,TRUE,TRUE,TRUE,4547,1,1,1,1,1,1,1,1,1,1,3/8/2023,3,2023,1015,9.66E+13,1258963251,Zain Ali,1024586354,Mallawi,28,1.19,Adult
Mahmoud Farouk,1291582634,29,Minya,0,1542362981,3.02E+13,0.61,Adult,5426,0,3/4/2021,2021,3,TRUE,TRUE,TRUE,4547,0,0,1,1,1,0,0,1,0,0,3/4/2021,3,2021,1015,6.52E+13,1258963251,Zain Ali,1024586355,Mallawi,28,1.19,Adult
Ali Farouk,1291502634,80,Minya,0,1542362981,3.02E+13,0.61,Older,5426,1,3/4/2021,2021,3,TRUE,TRUE,TRUE,4547,0,0,1,1,1,0,0,1,0,0,3/4/2021,3,2021,1015,6.52E+13,1258963251,Zain Ali,1024586355,Mallawi,28,1.19,Adult
Ali Ahmed,1691502634,5,Minya,0,1542362981,3.02E+13,0.61,Adolscent,5426,0,3/4/2021,2021,3,TRUE,TRUE,TRUE,4547,0,0,1,1,1,0,0,1,0,0,3/4/2021,3,2021,1015,6.52E+13,1258963251,Zain Ali,1024586355,Mallawi,28,1.19,Adult
Ali Mohamed,1691502654,10,Minya,0,1542362981,3.02E+13,0.61,Adolscent,5426,0,3/4/2021,2021,3,TRUE,TRUE,TRUE,4547,0,0,1,1,1,0,0,1,0,0,3/4/2021,3,2021,1015,6.52E+13,1258963251,Zain Ali,1024586355,Mallawi,28,1.19,Adult
Ali Mohmed,1693502654,10,Minya,0,1542362981,3.02E+13,0.61,Adolscent,5426,1,3/4/2021,2021,3,TRUE,TRUE,TRUE,4547,0,0,1,1,1,0,0,1,0,0,3/4/2021,3,2021,1015,6.52E+13,1258963251,Zain Ali,1024586355,Mallawi,28,1.19,Adult
Yahia Mahmed,1081232202,11,Minya,0,1023695841,3.66E+13,1.18,Adolscent,5425,0,3/8/2023,2023,3,TRUE,TRUE,TRUE,4547,1,1,1,1,1,1,1,1,1,1,3/8/2023,3,2023,1015,9.66E+13,1258963251,Zain Ali,1024586354,Mallawi,28,1.19,Adult
Ali Farouk,1291502634,80,Minya,0,1542362981,3.02E+13,0.61,Older,5426,1,3/4/2021,2021,3,TRUE,TRUE,TRUE,4547,0,0,1,1,1,0,0,1,0,0,3/4/2021,3,2021,1015,6.52E+13,1258963251,Zain Ali,1024586355,Mallawi,28,1.19,Adult
