National_ID,Name,Phone,Age,Address,Doctor_Phone,Gender,Follower_Phone,doctor_nid,Age_Normalization_Patient,Age_Stage
3.02E+13,Mazen Ahmed,1254852012,60,Minia,1256352548,0,1025489635,2.01037E+12,1.53,Adult
3.02E+13,Ahmed Mahmoud,1061233122,45,Giza,1024575863,0,1024585632,2.01E+13,0.49,Adult
3.02E+13,Mazen Mahmoud,1095133120,45,Giza,1024325863,0,1024585632,3.02E+13,0.49,Adult
3.02E+13,Ahmed Foad,1061275322,65,Aswan,1020210863,0,1025486325,3.02E+13,1.87,Adult
2.01E+13,Khaled Mohamed,1582033122,35,Sohag,1023025863,0,1125426326,2.25E+13,0.2,Adult
3.02E+13,Marwa Ahmed,1061964102,59,Minia,1125575863,0,1526324152,2.10E+13,1.46,Adult
9.63E+13,Nada Mahmoud,1061233957,48,Cairo,1524175863,0,1523624186,3.66E+13,0.7,Adult
3.02E+13,Waleed Mustafa,1061233642,40,Alexandria,1023625863,0,1236547895,2.31E+13,0.15,Adult
3.02E+13,Abdallah Mahmoud,1586214122,32,Assuit,2152352210,0,1023654789,2.35E+13,0.41,Adult
2.01E+13,Ahmed Adel,1163625122,34,Red Sea,1125636521,0,1024515263,3.02E+13,0.27,Adult
2.01E+13,Mena Ahmed ,1263946183,30,Luxor,1526325630,0,1120124586,1.24E+13,0.55,Adult
2.01E+13,Arwa Talat,1298321457,28,Port Said,1002548563,0,1125485632,3.02E+13,0.68,Adult
3.20E+13,Mariam Tarek,1123398245,27,Cairo,1025936354,0,1021453621,1.24E+13,0.75,Adult
6.52E+13,Mahmoud Farouk,1291582634,29,Minia,1024587596,0,1542362981,3.02E+13,0.61,Adult
3.02E+13,Ahmed Safwat,1086953214,60,Giza,102365952,0,1256963254,1.24E+13,1.53,Adult
1.20E+13,Hassan Saleh,1500360215,37,Luxor,102364852,0,1524869321,2.25E+13,0.06,Adult
9.66E+13,Belal Naser,1061021039,36,Giza,102536952,0,1025369541,1.24E+13,0.13,Adult
9.62E+13,Laila Mohamed,1061202692,35,Cairo,1125236905,0,1023652145,3.02E+13,0.2,Adult
3.01E+13,Retag Waleed,1131979231,28,Minia,1253625960,0,1236584520,1.24E+13,0.68,Adult
9.66E+13,Yahia Ahmed,1081232102,55,Giza,1023625236,0,1023695841,3.66E+13,1.18,Adult
