National_ID,Name,Phone,Age,Address,Doctor_Phone,Gender,Follower_Phone,doctor_nid,password,Age_Normalization_Patient,Age_Stage
30201548565212,Waleed Mustafa,01061233642,40,Alexandria,01023625863,0,01236547895,23102158632541,23648,0.36,Adult
30111132400354,Momen,01099473692,22,Minya,123123123,0,01099473695,30111132400353,123eee,0.88,Adult
30111132400355,Momen,01099473692,22,Minya,123123123,0,01099473695,30111132400353,123eee,0.88,Adult
30111132400356,Momen,01099473692,22,Minya,123123123,0,01099473695,30111132400353,123eee,0.88,Adult
30111132400357,Momen,01099473692,22,Minya,123123123,0,01099473695,30111132400353,123eee,0.88,Adult
30111132400351,Momen Khaled,01099473695,25,Minia,01128922921,0,01111111111,,123,0.68,Adult
20320154852369,Ali Bakr,01025486358,30,Mallawi,01258963251,0,01158263541,20152563201253,354,0.33,Adult
30201548596352,Abdelrahman Mohamed,01045863251,20,Cairo,01258963251,0,01024589637,20301548520137,653,1.02,Adult
30245849635712,Karem Assem,01235896541,22,Minia,01258963251,0,01253658477,20315059632104,3265,0.88,Adult
42589635715284,Hazem Khaled,01028963547,26,Mansora,01258963251,0,01258963457,20102365215422,3625,0.61,Adult
20301548967415,Mustafa Yahia,01036587460,28,Assuit,01258963251,0,01236584754,01025485236541,3256,0.47,Adult
25352015984520,Gmela Sayed,01025879634,22,Sohag,01258963251,1,01254589632,20103654852012,3625,0.88,Adult
40475302156985,Hager Mohamed,01258651452,23,Giza,01258963251,1,01254896350,14203025698410,4522,0.81,Adult
30215489542586,Mazen Ahmed,01254852012,60,Minia,01256352548,0,01025489635,,4522,1.74,Adult
30215469563215,Ahmed Mahmoud,01061233122,45,Giza,01024575863,0,01024585632,20103654852012,0223,0.71,Adult
30215252320125,Mazen Mahmoud,01095133120,45,Giza,01024325863,0,01024585632,30215252153652,0222,0.71,Adult
30215232012523,Ahmed Foad,01061275322,65,Aswan,01020210863,0,01025486325,30215489652312,01225,2.09,Adult
20102352152320,Khaled Mohamed,01582033122,35,Sohag,01023025863,0,01125426326,22518553200515,3252,0.02,Adult
30201020256324,Marwa Ahmed,01061964102,59,Minia,01125575863,0,01526324152,21026630215521,02354,1.68,Adult
96320254585201,Nada Mahmoud,01061233957,48,Cairo,01524175863,0,01523624186,36598445336655,6653,0.91,Adult
30212545866214,Abdallah Mahmoud,01586214122,32,Assuit,02152352210,0,01023654789,23548565215420,895,0.19,Adult
20122530120255,Ahmed Adel,01163625122,34,Red Sea,01125636521,0,01024515263,30201025658963,645564,0.05,Adult
20102154855210,Mena Ahmed ,01263946183,30,Luxor,01526325630,0,01120124586,12350115203250,056465,0.33,Adult
20125336987521,Arwa Talat,01298321457,28,Port Said,01002548563,0,01125485632,30215458620125,23505,0.47,Adult
32012025633211,Mariam Tarek,01123398245,27,Cairo,01025936354,0,01021453621,12350115203250,055511,0.54,Adult
65210213202125,Mahmoud Farouk,01291582634,29,Minia,01024587596,0,01542362981,30201025658963,065452,0.4,Adult
30212526872120,Ahmed Safwat,01086953214,60,Giza,0102365952,0,01256963254,12350115203250,05645,1.74,Adult
12022530898520,Hassan Saleh,01500360215,37,Luxor,0102364852,0,01524869321,22518553200515,055455,0.15,Adult
96574286332152,Belal Naser,01061021039,36,Giza,0102536952,0,01025369541,12350115203250,0555566,0.08,Adult
96224152135562,Laila Mohamed,01061202692,35,Cairo,01125236905,0,01023652145,30215489652312,054200,0.02,Adult
30125566321252,Retag Waleed,01131979231,28,Minia,01253625960,0,01236584520,12350115203250,0000,0.47,Adult
96633221012252,Yahia Ahmed,01081232102,55,Giza,01023625236,0,01023695841,36598445336655,88552,1.4,Adult
30111132400352,Momen,01099473692,22,Minya,123123123,0,01099473695,,96325,0.88,Adult
21521525632514,على بكر,01256953201,22,المنيا,01025365214,0,01256396541,36598445336655,12540,0.88,Adult
21536920125632,سعدون,01021020165,21,اسيوط,01025698745,0,01254256321,36598445336655,1252102,0.95,Adult
