survey_id,q_one,q_two,q_three,q_four,q_five,q_six,q_seven,q_eight,q_nine,q_ten,survey_date,p_nid,Survay_Result_Month,Survay_Result_Year
4523,1,1,1,0,1,0,0,0,1,0,2022-02-22,42589635715284,2,2022
4525,0,1,1,0,1,0,1,1,0,0,2023-03-08,25352015984520,3,2023
4526,0,0,1,0,1,0,1,1,0,0,2019-11-11,40475302156985,11,2019
4508,1,0,1,0,0,1,0,0,1,0,2022-04-20,30111132400351,4,2022
4509,0,1,0,1,0,1,0,0,0,0,2022-05-15,20320154852369,5,2022
4510,0,0,1,0,1,0,1,1,0,1,2022-06-20,30201548596352,6,2022
4511,0,1,0,0,0,1,0,1,1,1,2022-05-02,30245849635712,5,2022
4512,0,0,0,1,0,1,0,0,1,0,2022-06-10,42589635715284,6,2022
4513,0,1,1,0,0,1,0,1,1,1,2022-04-08,20301548967415,4,2022
4514,0,1,1,0,1,0,1,0,0,0,2022-04-09,25352015984520,4,2022
4515,0,1,0,0,1,1,1,0,1,0,2022-05-15,40475302156985,5,2022
4516,1,0,0,1,0,0,1,0,0,1,2022-06-24,30215489542586,6,2022
4517,0,1,0,1,0,1,0,1,0,0,2022-04-26,20123548512542,4,2022
4518,0,0,0,1,1,0,0,1,0,0,2022-04-24,30215469563215,4,2022
4519,0,0,1,1,0,0,1,0,0,0,2022-05-28,30215252320125,5,2022
4536,0,0,1,1,1,0,1,1,1,1,2022-04-30,30215232012523,4,2022
4537,1,1,1,1,1,1,1,1,0,1,2022-04-30,20102352152320,4,2022
4538,1,1,1,1,1,1,1,0,1,0,2022-05-28,96320254585201,5,2022
4539,0,0,0,0,0,0,0,1,0,0,2022-04-24,30201548565212,4,2022
4540,1,1,1,1,0,0,1,0,0,1,2022-04-01,30212545866214,4,2022
4541,0,0,0,0,0,0,0,0,0,0,2022-04-03,20122530120255,4,2022
4542,1,1,1,1,1,1,1,1,1,1,2022-06-07,20102154855210,6,2022
4527,1,1,1,1,1,1,1,1,1,1,2022-06-13,20125336987521,6,2022
4528,0,0,0,0,0,0,0,1,0,1,2022-04-14,32012025633211,4,2022
4529,0,0,0,0,0,0,0,0,1,0,2022-04-16,65210213202125,4,2022
4530,1,1,1,1,1,1,1,1,1,1,2022-04-29,30212526872120,4,2022
4531,0,1,0,1,1,0,1,0,0,1,2022-05-27,12022530898520,5,2022
4532,1,0,1,0,1,1,0,1,0,1,2022-06-20,96574286332152,6,2022
4533,1,0,1,0,1,0,1,1,1,0,2022-05-12,96224152135562,5,2022
4534,1,0,1,0,1,0,0,1,0,1,2022-04-11,30125566321252,4,2022
4535,0,1,0,0,1,0,1,1,1,0,2022-05-17,96633221012252,5,2022
4520,1,0,1,1,1,0,0,0,1,1,2023-04-20,20320154852369,4,2023
4521,0,1,0,1,1,1,1,0,0,0,2022-07-24,30201548596352,7,2022
4522,0,1,1,0,0,1,0,0,1,1,2022-06-22,30245849635712,6,2022
4524,0,1,0,0,0,1,1,1,1,0,2022-12-12,20301548967415,12,2022
